,Time Slot,Trips,Passengers
0,00:00:01-05:00:00,,
1,05:00:01-06:00:00,2,10
2,06:00:01-07:00:00,7,71
3,07:00:01-08:00:00,5,55
4,08:00:01-09:00:00,6,92
5,09:00:01-10:00:00,2,38
6,10:00:01-11:00:00,4,55
7,11:00:01-12:00:00,1,36
8,12:00:01-13:00:00,4,62
9,13:00:01-14:00:00,2,34
10,14:00:01-15:00:00,4,20
11,15:00:01-16:00:00,3,23
12,16:00:01-17:00:00,3,34
13,17:00:01-18:00:00,2,50
14,18:00:01-19:00:00,4,44
15,19:00:01-20:00:00,0,4
16,20:00:01-21:00:00,4,14
17,21:00:01-22:00:00,5,42
18,22:00:01-23:00:00,3,12
19,23:00:01-24:00:00,3,4
