,Time Slot,Trips,Passengers
0,00:00:01-05:00:00,,
1,05:00:01-06:00:00,1,0
2,06:00:01-07:00:00,2,3
3,07:00:01-08:00:00,4,11
4,08:00:01-09:00:00,3,28
5,09:00:01-10:00:00,3,28
6,10:00:01-11:00:00,1,17
7,11:00:01-12:00:00,2,50
8,12:00:01-13:00:00,2,43
9,13:00:01-14:00:00,0,0
10,14:00:01-15:00:00,1,9
11,15:00:01-16:00:00,1,14
12,16:00:01-17:00:00,1,23
13,17:00:01-18:00:00,1,20
14,18:00:01-19:00:00,1,53
15,19:00:01-20:00:00,0,0
16,20:00:01-21:00:00,1,14
17,21:00:01-22:00:00,,
18,22:00:01-23:00:00,,
19,23:00:01-24:00:00,,
