,Time Slot,Trips,Passengers
0,00:00:01-05:00:00,2,39
1,05:00:01-06:00:00,,
2,06:00:01-07:00:00,4,29
3,07:00:01-08:00:00,4,71
4,08:00:01-09:00:00,3,63
5,09:00:01-10:00:00,2,61
6,10:00:01-11:00:00,3,42
7,11:00:01-12:00:00,3,61
8,12:00:01-13:00:00,3,87
9,13:00:01-14:00:00,4,42
10,14:00:01-15:00:00,2,54
11,15:00:01-16:00:00,3,24
12,16:00:01-17:00:00,2,22
13,17:00:01-18:00:00,5,87
14,18:00:01-19:00:00,3,119
15,19:00:01-20:00:00,3,229
16,20:00:01-21:00:00,1,40
17,21:00:01-22:00:00,2,76
18,22:00:01-23:00:00,5,56
19,23:00:01-24:00:00,1,47
