,Time Slot,Trips,Passengers
0,00:00:01-05:00:00,4,34
1,05:00:01-06:00:00,1,13
2,06:00:01-07:00:00,7,102
3,07:00:01-08:00:00,7,133
4,08:00:01-09:00:00,4,107
5,09:00:01-10:00:00,2,129
6,10:00:01-11:00:00,3,64
7,11:00:01-12:00:00,4,48
8,12:00:01-13:00:00,3,30
9,13:00:01-14:00:00,3,38
10,14:00:01-15:00:00,2,27
11,15:00:01-16:00:00,2,13
12,16:00:01-17:00:00,3,17
13,17:00:01-18:00:00,4,34
14,18:00:01-19:00:00,2,18
15,19:00:01-20:00:00,2,26
16,20:00:01-21:00:00,4,25
17,21:00:01-22:00:00,4,24
18,22:00:01-23:00:00,2,13
19,23:00:01-24:00:00,0,1
