,Time Slot,Trips,Passengers
0,00:00:01-05:00:00,,
1,05:00:01-06:00:00,2,19
2,06:00:01-07:00:00,6,81
3,07:00:01-08:00:00,6,115
4,08:00:01-09:00:00,4,126
5,09:00:01-10:00:00,4,102
6,10:00:01-11:00:00,4,70
7,11:00:01-12:00:00,2,25
8,12:00:01-13:00:00,3,30
9,13:00:01-14:00:00,3,40
10,14:00:01-15:00:00,1,26
11,15:00:01-16:00:00,2,7
12,16:00:01-17:00:00,2,13
13,17:00:01-18:00:00,3,25
14,18:00:01-19:00:00,4,29
15,19:00:01-20:00:00,3,28
16,20:00:01-21:00:00,3,18
17,21:00:01-22:00:00,4,28
18,22:00:01-23:00:00,3,15
19,23:00:01-24:00:00,2,3
