,Time Slot,Trips,Passengers
0,00:00:01-05:00:00,,
1,05:00:01-06:00:00,,
2,06:00:01-07:00:00,1,0
3,07:00:01-08:00:00,3,132
4,08:00:01-09:00:00,3,319
5,09:00:01-10:00:00,3,177
6,10:00:01-11:00:00,1,127
7,11:00:01-12:00:00,3,181
8,12:00:01-13:00:00,0,131
9,13:00:01-14:00:00,0,11
10,14:00:01-15:00:00,1,23
11,15:00:01-16:00:00,2,75
12,16:00:01-17:00:00,2,42
13,17:00:01-18:00:00,1,145
14,18:00:01-19:00:00,1,39
15,19:00:01-20:00:00,1,6
16,20:00:01-21:00:00,2,89
17,21:00:01-22:00:00,2,186
18,22:00:01-23:00:00,3,62
19,23:00:01-24:00:00,1,34
