,Time Slot,Trips,Passengers
0,00:00:01-05:00:00,1,0
1,05:00:01-06:00:00,2,6
2,06:00:01-07:00:00,2,75
3,07:00:01-08:00:00,5,221
4,08:00:01-09:00:00,0,197
5,09:00:01-10:00:00,4,69
6,10:00:01-11:00:00,2,150
7,11:00:01-12:00:00,2,117
8,12:00:01-13:00:00,2,150
9,13:00:01-14:00:00,2,140
10,14:00:01-15:00:00,3,191
11,15:00:01-16:00:00,2,150
12,16:00:01-17:00:00,2,121
13,17:00:01-18:00:00,7,138
14,18:00:01-19:00:00,2,270
15,19:00:01-20:00:00,2,233
16,20:00:01-21:00:00,2,307
17,21:00:01-22:00:00,1,107
18,22:00:01-23:00:00,1,67
19,23:00:01-24:00:00,0,11
