,Time Slot,Trips,Passengers
0,00:00:01-05:00:00,4,81
1,05:00:01-06:00:00,2,28
2,06:00:01-07:00:00,5,52
3,07:00:01-08:00:00,4,44
4,08:00:01-09:00:00,2,34
5,09:00:01-10:00:00,4,28
6,10:00:01-11:00:00,4,45
7,11:00:01-12:00:00,4,30
8,12:00:01-13:00:00,3,75
9,13:00:01-14:00:00,2,36
10,14:00:01-15:00:00,2,21
11,15:00:01-16:00:00,2,21
12,16:00:01-17:00:00,4,26
13,17:00:01-18:00:00,2,49
14,18:00:01-19:00:00,4,89
15,19:00:01-20:00:00,3,72
16,20:00:01-21:00:00,4,66
17,21:00:01-22:00:00,5,61
18,22:00:01-23:00:00,1,16
19,23:00:01-24:00:00,1,1
