,Time Slot,Trips,Passengers
0,00:00:01-05:00:00,,
1,05:00:01-06:00:00,,
2,06:00:01-07:00:00,3,97
3,07:00:01-08:00:00,4,183
4,08:00:01-09:00:00,3,290
5,09:00:01-10:00:00,2,141
6,10:00:01-11:00:00,3,225
7,11:00:01-12:00:00,2,133
8,12:00:01-13:00:00,1,119
9,13:00:01-14:00:00,2,71
10,14:00:01-15:00:00,5,191
11,15:00:01-16:00:00,1,170
12,16:00:01-17:00:00,3,138
13,17:00:01-18:00:00,0,83
14,18:00:01-19:00:00,1,184
15,19:00:01-20:00:00,1,112
16,20:00:01-21:00:00,2,218
17,21:00:01-22:00:00,0,65
18,22:00:01-23:00:00,0,0
19,23:00:01-24:00:00,0,0
