,Time Slot,Trips,Passengers
0,00:00:01-05:00:00,0,0
1,05:00:01-06:00:00,4,15
2,06:00:01-07:00:00,6,27
3,07:00:01-08:00:00,9,69
4,08:00:01-09:00:00,5,77
5,09:00:01-10:00:00,4,67
6,10:00:01-11:00:00,3,57
7,11:00:01-12:00:00,3,30
8,12:00:01-13:00:00,3,33
9,13:00:01-14:00:00,5,33
10,14:00:01-15:00:00,2,62
11,15:00:01-16:00:00,3,64
12,16:00:01-17:00:00,7,70
13,17:00:01-18:00:00,3,80
14,18:00:01-19:00:00,4,144
15,19:00:01-20:00:00,2,84
16,20:00:01-21:00:00,5,62
17,21:00:01-22:00:00,4,36
18,22:00:01-23:00:00,2,8
19,23:00:01-24:00:00,1,5
