,Time Slot,Trips,Passengers
0,00:00:01-05:00:00,,
1,05:00:01-06:00:00,1,5
2,06:00:01-07:00:00,5,40
3,07:00:01-08:00:00,2,96
4,08:00:01-09:00:00,2,116
5,09:00:01-10:00:00,1,149
6,10:00:01-11:00:00,1,88
7,11:00:01-12:00:00,1,60
8,12:00:01-13:00:00,2,92
9,13:00:01-14:00:00,1,98
10,14:00:01-15:00:00,3,78
11,15:00:01-16:00:00,0,82
12,16:00:01-17:00:00,1,76
13,17:00:01-18:00:00,1,68
14,18:00:01-19:00:00,1,90
15,19:00:01-20:00:00,2,130
16,20:00:01-21:00:00,0,124
17,21:00:01-22:00:00,2,54
18,22:00:01-23:00:00,0,34
19,23:00:01-24:00:00,,
