,Time Slot,Trips,Passengers
0,00:00:01-05:00:00,,
1,05:00:01-06:00:00,3,20
2,06:00:01-07:00:00,5,68
3,07:00:01-08:00:00,2,111
4,08:00:01-09:00:00,3,290
5,09:00:01-10:00:00,1,237
6,10:00:01-11:00:00,2,84
7,11:00:01-12:00:00,3,130
8,12:00:01-13:00:00,1,127
9,13:00:01-14:00:00,2,69
10,14:00:01-15:00:00,3,48
11,15:00:01-16:00:00,2,59
12,16:00:01-17:00:00,2,93
13,17:00:01-18:00:00,2,57
14,18:00:01-19:00:00,1,116
15,19:00:01-20:00:00,1,105
16,20:00:01-21:00:00,3,146
17,21:00:01-22:00:00,0,59
18,22:00:01-23:00:00,0,23
19,23:00:01-24:00:00,,
