,Time Slot,Trips,Passengers
0,00:00:01-05:00:00,,
1,05:00:01-06:00:00,,
2,06:00:01-07:00:00,4,80
3,07:00:01-08:00:00,1,110
4,08:00:01-09:00:00,1,127
5,09:00:01-10:00:00,0,146
6,10:00:01-11:00:00,2,65
7,11:00:01-12:00:00,1,96
8,12:00:01-13:00:00,1,130
9,13:00:01-14:00:00,3,102
10,14:00:01-15:00:00,2,73
11,15:00:01-16:00:00,1,32
12,16:00:01-17:00:00,0,48
13,17:00:01-18:00:00,3,69
14,18:00:01-19:00:00,2,101
15,19:00:01-20:00:00,0,132
16,20:00:01-21:00:00,1,111
17,21:00:01-22:00:00,2,52
18,22:00:01-23:00:00,0,27
19,23:00:01-24:00:00,,
