,Time Slot,Trips,Passengers
0,00:00:01-05:00:00,2,131
1,05:00:01-06:00:00,0,0
2,06:00:01-07:00:00,1,1
3,07:00:01-08:00:00,3,102
4,08:00:01-09:00:00,1,222
5,09:00:01-10:00:00,1,152
6,10:00:01-11:00:00,2,259
7,11:00:01-12:00:00,1,203
8,12:00:01-13:00:00,1,215
9,13:00:01-14:00:00,1,143
10,14:00:01-15:00:00,1,151
11,15:00:01-16:00:00,0,84
12,16:00:01-17:00:00,1,82
13,17:00:01-18:00:00,1,194
14,18:00:01-19:00:00,0,103
15,19:00:01-20:00:00,0,76
16,20:00:01-21:00:00,1,61
17,21:00:01-22:00:00,0,16
18,22:00:01-23:00:00,0,0
19,23:00:01-24:00:00,0,0
