,Time Slot,Trips,Passengers
0,00:00:01-05:00:00,,
1,05:00:01-06:00:00,1,12
2,06:00:01-07:00:00,7,104
3,07:00:01-08:00:00,8,182
4,08:00:01-09:00:00,4,204
5,09:00:01-10:00:00,4,183
6,10:00:01-11:00:00,2,76
7,11:00:01-12:00:00,3,46
8,12:00:01-13:00:00,3,71
9,13:00:01-14:00:00,3,43
10,14:00:01-15:00:00,3,32
11,15:00:01-16:00:00,4,23
12,16:00:01-17:00:00,3,21
13,17:00:01-18:00:00,2,12
14,18:00:01-19:00:00,3,42
15,19:00:01-20:00:00,4,38
16,20:00:01-21:00:00,5,33
17,21:00:01-22:00:00,3,28
18,22:00:01-23:00:00,3,18
19,23:00:01-24:00:00,1,1
