,Time Slot,Trips,Passengers
0,00:00:01-05:00:00,1,4
1,05:00:01-06:00:00,0,0
2,06:00:01-07:00:00,2,55
3,07:00:01-08:00:00,3,150
4,08:00:01-09:00:00,2,197
5,09:00:01-10:00:00,4,234
6,10:00:01-11:00:00,0,145
7,11:00:01-12:00:00,2,13
8,12:00:01-13:00:00,3,174
9,13:00:01-14:00:00,4,146
10,14:00:01-15:00:00,3,116
11,15:00:01-16:00:00,2,83
12,16:00:01-17:00:00,1,105
13,17:00:01-18:00:00,2,170
14,18:00:01-19:00:00,1,152
15,19:00:01-20:00:00,3,124
16,20:00:01-21:00:00,2,229
17,21:00:01-22:00:00,2,214
18,22:00:01-23:00:00,0,52
19,23:00:01-24:00:00,,
