,Time Slot,Trips,Passengers
0,00:00:01-05:00:00,,
1,05:00:01-06:00:00,0,0
2,06:00:01-07:00:00,2,41
3,07:00:01-08:00:00,2,104
4,08:00:01-09:00:00,3,109
5,09:00:01-10:00:00,3,108
6,10:00:01-11:00:00,1,70
7,11:00:01-12:00:00,3,108
8,12:00:01-13:00:00,1,70
9,13:00:01-14:00:00,2,61
10,14:00:01-15:00:00,1,63
11,15:00:01-16:00:00,1,84
12,16:00:01-17:00:00,2,13
13,17:00:01-18:00:00,0,60
14,18:00:01-19:00:00,2,72
15,19:00:01-20:00:00,2,119
16,20:00:01-21:00:00,1,106
17,21:00:01-22:00:00,1,47
18,22:00:01-23:00:00,2,78
19,23:00:01-24:00:00,0,9
